url,state
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKZNSQA4,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKFCwQAO,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKfnjQAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKg9vQAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKidcQAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gJl86QAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKmZAQA0,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKkFVQA0,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKeENQA0,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKOznQAG,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKK5BQAW,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKY4dQAG,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKkMSQA0,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKmBtQAK,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001simUzQAI,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKi0TQAS,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKFzRQAW,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gJl8fQAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKMBeQAO,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKRXRQA4,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKl5QQAS,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKe89QAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKlWEQA0,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKSoeQAG,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKYgeQAG,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKkaaQAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKRVWQA4,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKI7OQAW,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKM1mQAG,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKFRGQA4,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKmYoQAK,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKk1VQAS,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKemgQAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gJz5SQAS,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gK9pcQAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKCJbQAO,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKMBZQA4,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKF9jQAG,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKVnwQAG,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKWRHQA4,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKDW3QAO,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKlWUQA0,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKgjpQAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKmMCQA0,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gJtcgQAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gJuNrQAK,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gJl8bQAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKMD4QAO,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKmjoQAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKRTkQAO,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKVL3QAO,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKjtqQAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKji1QAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKbg3QAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKleyQAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKZMHQA4,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gJrtVQAS,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKi6fQAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKjAWQA0,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKkc3QAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKM1vQAG,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gK0huQAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gJt3rQAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKefnQAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKlAQQA0,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKlYpQAK,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKSLGQA4,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKbuFQAS,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKMa9QAG,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gJuPuQAK,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKTETQA4,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKMBTQA4,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKA7wQAG,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKl9IQAS,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKgjcQAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKhBdQAK,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKb0IQAS,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKCcsQAG,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKH9iQAG,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gJqrLQAS,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gJzm4QAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKGXJQA4,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKU8VQAW,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKMaKQAW,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gJphdQAC,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKKfbQAG,California
https://aossm.secure.nonprofitsoapbox.com/find-a-doctor/record/0018W00001gKi02QAC,California
